Word,Morphs
li,li
tijb'ij,ti j b'ij
taq,taq
qamaam,qa maam
qet',q et'
ooj,ooj
ójor,ójor
taq,taq
tziij,tziij
tose,entoons
pwes,pwees
mxaqtb'ka',m xaq t b' ka'
ójor,ójor
taq,taq
tziij,tziij
tambyeen,tambyeen
tkojsaj,t koj saj
li,li
tzko'ri,tz ko' ri
wi',wi'
laqaxo'l,laj qa xo'l
li',li
wetji'noon,wet ji'non
chi,chi
qe,qe
per,per
kom,kom
ma,ma
jita',jita'
chki',chki'
non,jilon
re,re
qíjil,q ijiil
qatz'áqt,qa tz'aqt
masi',mas i'
k'is,k'is
sach,sach
taq,taq
che',che'
ta',ta'
chki',chki'
tijye',ti j ye'
taq,taq
jq'iij,j q'iij
i,i
chee',chee'
tichkoni'n,ti chkon i'n
komoo,koom
tijb'ij,ti j b'ij
taq,taq
pwes,pwees
porke,porke
iin,iin
pok,pok
k'ex,k'ex
lajwanim,laj w anim
tijb'ij,ti j b'ij
taq,taq
re,r e
staq,staq
chee',chee'
komo,koom
tijyoq',ti j yoq'
taq,taq
taq,taq
ra,ra
jfoot,j foot
qaqaaj,qa qaaj
diyoos,dyoos
neen,neen
chki',chki'
tab'an,t a b'an
taq,taq
jq'iij,j q'iij
man,man
chee',chee'
chee',chee'
ka',ka'
li,li
jun,jun
k'eer,k'eer
regla,regla
ka',ka'
li,li
cha',cha'
taq,taq
re,re
ay,ay
diyoos,dyoos
per,per
weyin,w e in
pok,pok
k'ex,k'ex
tib'ew,ti b'e w
chwe,ch we
porke,porke
marita',ma ri ta'
jcholájl,j chola j l
tiyolow,ti yol ow
taq,taq
i,i
pwes,pwes
chee',chee'
nimi',nim i'
nimi',nim i'
jpetik,j pet ik
tqayoq',t qa yoq'
jun,jun
chee',chee'
nik'i,nik' i'
pech,pech
jun,jun
tziij,tziij
kondo,kondo
kita',kita'
jcholájl,j cholá j l
ojyolowk,oj yol ow ik
cha',cha'
toos,entoons
jchuchi',j chuch i'
jun,jun
kistyan,kirtyaan
tqab'ij,t qa b'ij
b'ijb'ik,b'i j b'i k
ri',ri'
li,li
tqa,t qa
ri',ri'
li,li
tqayoq'b'ik,t qa yoq' b' ik
toos,entoons
jinon,jilon
li,li
tqab'ij,t qa b'ij
re,re
chee',chee'
ooj,ooj
cha',cha'
re,re
chee',chee'
toos,entoons
ta',ta'
moo,moo
tqyoq',t q yoq'
chee',chee'
porke,porke
ri',ri'
chee',chee'
wi',wi'
chub',chub'
qchoch,q ichooch
i,i
ri',ri'
tyaw,t ya w
quxb',q úxub'
mat,mat
wi',wi'
chee',chee'
sol,sol
q'aaq',q'aaq'
chaq,chaq
sewr,seguro
ooj,ooj
jiq',jiq'
li,li
q'aaq',q'aaq'
jq'aaq'al,j q'aaq' al
qaqaaj,qa qaaj
q'iij,q'iij
qaqaaj,qa qaaj
padre,padre
etern,etern
tijb'ij,ti j b'i
taq,taq
qaqaaj,qa qaaj
qamaam,qa maam
qeet',q eet'
ójor,ójor
ójor,ójor
taq,taq
tziij,tziij
toos,entoons
chee',chee'
pwes,pwees
re,re
ri,ri
ri',ri'
tisik'in,ti sik' in
teew,teew
ri',ri'
tya'w,t ya' w
quxb',q uxiib'
ri',ri'
tb'enow,t b'an ow
respirar,respirar
qa,qa
qa,qe
pulmon,pulmon
ri',ri'
li,li
tb'enow,t b'en ow
nimi',nim i'
jq'iij,j q'iij
qache',qa che'
ri,ri
loq'laj,loq'laj
taq,taq
chee',chee'
k'aam,k'aam
tijb'ij,ti j b'ij
taq,taq
qaqaaj,qa qaaj
qachuuch,qa chuuch
jnonli,jilon li
tijb'ij,ti j b'ij
taq,taq
cha',cha'
taq,taq
qaqaaj,qa qaaj
qachuuch,qa chuuch
qamaam,qa maam
qeet',qeet'
u,o
rechaq,r ech aq
toos,entoons
ri,ri
tijb'ij,ti j b'ij
taq,taq
rem,r e m
jb'anik,j b'an ik
rka',rka'
tanb'ij,t an b'ij
iin,iin
pwes,pwees
kee,kee
i,i
li,li
es,es
inportanti'n,inportant i'n
rejwexki',rejwex i'
man,man
man,man
man,man
man,man
yoloj,yoloj
li,li
matja'tisach,mat ja' ti sach
chi,chi
qe,qe
pwes,pwees
ke,ke
li,li
li,li
man,man
chee',chee'
tqaye',t qa ye'
jq'iij,j q'iij
chee',chee'
kwando,kwaand
wi',wi'
jun,jun
bween,bween
k'ichelaaj,k'iche'laaj
cha',cha'
chi,chi
k'otob',k'otob'
cha',cha'
t'oq'ch,t oq' ch
qe,qe
ja',ja'
uchaq,uch aq
uchaq,uch aq
tantaq,tantaq
cha',cha'
toos,entoons
t'elch,t el ch
ja',ja'
toose,entoons
ri',ri'
li,li
jb'anik,j b'an ik
ta'lexch,ta 'alex ch
ja',ja'
per,peer
jwi'li',j wi'l i'
chee',chee'
komo,koom
tijb'ij,ti j b'ij
taq,taq
li,li
kastiy,kastiiy
pwes,pwees
e,e
brinda,brinda
kurason,kurason
del,del
muntaño,muntaño
che',cha'
taq,taq
ji'n,ji'n
per,per
chijb'anik,chi j b'an ik
tanb'ij,t an b'ij
iin,iin
jinon,jilon
li,li
per,per
kwand,kwand
chee',chee'
tloq'ájk,t loq'aa j k
tloq'áj,t loq'a j
che',che'
ta',ta'
tb'ensaj,t b'en sáj
k'ex,k'ex
re,re
wi',wi'
taqra,taq ra
jq'ab',j q'ab'
taq,taq
ra,ra
cheqejchaqj,cheqej chaq
ri',ri'
li,li
tqakoj,t qa koj
li,li
q'aaq',q'aaq'
nimaq,nim aq
taq,taq
chee',chee'
kom,koom
chawilka',ch aw il ka'
jb'anik,j b'an ik
tren,t r en
taq,taq
kirtyan,kirtyaan
ori,ori
tijin,tijin
tijqasaj,ti j qasaj
taq,taq
nimaq,nimaq
taq,taq
chee',chee'
chaj,chaj
tijin,tijin
tren,t r en
taq,taq
k'ex,k'ex
re,re
toos,entoons
ri',ri'
li',li
jb'anik,j b'an ik
rii,ri
jun,jun
sib'laj,sib'laj
jb'anik,j b'an ik
jun,jun
jwert,jwert
kimik,kim ik
tren,t r en
taq,taq
nojeel,nojeel
q'iij,q'iij
jun,jun
jwert,jwert
sachik,sach ik
tren,t r en
taq,taq
nojeel,nojeel
q'iij,q'iij
nin,nin
nichek,ni chek
lori,lajori
lori,lajori
tqab'ij,t qa b'ij
m,ma
ta',ta'
chki',chk i'
ta',ta'
chki',chk i'
chee',chee'
oj,oj
cha',cha'
ay,ay
xpeti',x pet i'
jwerte,jwerte
q'iij,q'iij
cha',cha'
ta',ta'
chki',chki'
tk'iisi',t k'is i'
q'aaq',q'aaq'
ta',ta'
chki',chk i'
tk'isi',t k'isi'
qáwj,q awaj
ooj,ooj
cha',cha'
qata'j,qa táq'aj
ri',ri'
li,li
tb'enowk,t b'en ow ik
porke,porke
neen,neen
chek,chek
ta',ta'
chki',chiki'
chee',chee'
ta',ta'
chki',chk i'
qelen,qleen
tisik'in,ti sik' i'n
teew,teew
toos,entoons
jwi'l,j wi'l
k'u,k'u
li,li
jinon,jilon
li,li
tren,t r en
toos,entoons
lijori,lijori
qes,qas
tijb'iji',ti j b'ij i'
li,li
chi,chi
qe,qe
tqat'o,t qa t'o
chee',chee'
chee',chee'
pok,pok
nim,nim
jq'iij,j q'iij
tichikoni',ti chikon i'
re,re
qchooch,q ichooch
tchkon,t chikon
tqakoj,t qa koj
li,li
q'aaq',q'aaq'
tichkoni',ti chikon i'
chi,chi
qe,q e
re,re
ojwi'n,oj wi'n
b'a,b'a
meex,meex
ju,ju
jun,jun
qe,qe
qadiyosil,qa diyos il
rk'iilaq,r k'iil aq
xaq,xaq
kom,koom
ta',ta'
tich'eb'on,ti ch'eb' on
taq,taq
tanb'ij,t an b'ij
iin,iin
e,e
m,m
moo,mood
tren,t r en
taq,taq
ri',ri'
rka',rka'
jb'anik,j b'an ik
nemoo,ne moo
tren,t r en
taq,taq
yaq,yaq
mosib',moos ib'
sool,sol
b'a,b'a
meex,meex
tiwi'ntaqw,ti wi'n taq w
twi'ntaq,t wi'n taq
li,li
b'a,b'a
meex,meex
per,per
lamas,lamas
k'u,k'u
tpe'w,t pe w
li,li
ri',ri'
mis,mis
chee',chee'
tijkoj,ti j koj
taq,taq
pwerta,pwerta
ri',ri'
mis,mis
pwerta,pwerta
toos,entoons
ri',ri'
mism,miim
kaske,kaske
ooj,ooj
mas,maas
sechelkoj,sechelk oj
rk'iilaq,r ik'iil aq
mas,mas
sechelkoj,sechel k oj
mari'ta',ma ri ta'
jcholájil,j chola j il
tiyolow,ti yol ow
taq,taq
mari'ta',ma ri' ta'
nada,nada
tons,entoons
iin,iin
ri',ri'
tanb'ij,t an b'ij
iin,iin
qes,qas
jcholájl,j chola j l
pwes,pwees
qaloq'aj,qa loq'a j
chee',chee'
pwes,pwes
qaloq'aj,qa loq'a j
taq,taq
ra,ra
qachee',qa chee'
porke,porke
iin,iin
pok,pok
k'ex,k'ex
lajwánm,laj w ánim
tb'ensaj,t b'en sáj
k'ex,k'ex
re,re
chee',chee'
chee',chee'
pok,pok
nim,nim
jq'iij,j q'iij
este,este
k'is,k'is
okox,okox
xaq',xaq'
k'ichelaaj,k'iche'laaj
kwando,kwaand
wi'naa,wi'n aa
mas,maas
chee',chee'
li,li
tz'eti',tz'et i'
tab'i,t a b'i
ji'n,jii'n
xwila'n,x w il a'n
ojpeli,oj pe li
la',la'
man,man
lwar,luwar
li,li
tijb'ij,ti j b'ij
taq,taq
re,re
san,san
katalina,katalina
cha',cha'
taq,taq
re,re
aat,aat
ta',ta'
ilan,il an
awi'l,a wi'l
aat,aat
ta',ta'
jun,jun
welt,weelt
eselkat,esel k at
uchaq,uch aq
loom,loom
aat,aat
b'i,b'ik
wakotchaq,wakot ch aq
a',a'
pero,peer
iinilan,iin il an
inwi'l,in wi'l
wi',wi'
jun,jun
juul,juul
kla',kla'
i,i
wi',wi'
jnoo,jono
ajq'iijab',aj q'iij ab'
tqej,t qej
taq,taq
xílij,xílij
wi',wi'
ajq'iijb',aj q'iij b'
tqej,t qej
taq,taq
xílij,xílij
pero,peer
man,man
lugar,luwar
li,li
i,i
qask'une',qas k'u ne'
b'anik,b'an ik
tanb'ij,t an b'ij
iin,iin
pwes,pwees
li,li
lwar,luwar
li,li
qesk'une',qes k'u ne'
tz'et,tz'et
li,li
lwar,luwar
sagradi',sagrad i'
li,li
nmoo,ne moo
tib'ij,ti j b'ij
taq,taq
re,re
k'aslem,k'aslem
jyub'al,juyub' aal
qes,qas
k'uyo'lli',k'u yo'l i'
li,li
yo'l,yo'l
yo'l,yo'l
yo'l,yo'l
yo'lk,yo'l k
wiitzi'li,wiitz i' li
yo'lk,yo'l k
wiitzili,wiitz li
tose,entoons
ri',ri'
k'u,k'u
li,li
pwes,pwees
tren,t r en
taq,taq
qaqaaj,qa qaaj
qachuuch,qa chuuch
ójor,ójor
taq,taq
tziij,tziij
tantayin,t an ta yin
a',a'
nimi',nim i'
jyolik,j yol ik
ri,ri
qaaj,qaaj
nimi',nim i'
jyolik,j yol ik
ri,ri
tons,entoons
ri',ri'
li,li
tanb'ij,t an b'ij
iin,iin
pwes,pwees
li,li
moo,mood
kristyan,kirtyaan
lori,lajori
pwes,pwees
tijtika',ti j tik a'
rab'ixaq,r ab'ix aq
cha',cha'
qatike',qa tik e'
na,na
qab'ix,q ab'iix
cha',cha'
taq,taq
tb'e,t b'e
taq,taq
li,li
tikij,tik ij
ab'iix,ab'iix
xaq,xaq
b'ij,b'i j
ch'ikch'ij,ch'ikch'ij
taq,taq
per,peer
ya,ya
xch'ikmaji'ch',x ch'ik maj i' ch
yastw,yastw
xoktqa',x ok tq a'
re',re'
a,a
noo,noo
kond,kwand
t'elch,t' el ch
woroon,woroon
chi,chi
rij,r ij
inb'ee,in b'ee
jol,jol
li,li
chaak,chaak
chik,chik
juntir,juntiir
tk'am,t k'am
wasroon,w asroon
iin,iin
b'ee,b'ee
jol,jol
ooj,ooj
b'i,b'i
chakun,chaaku n
chik,chik
cha',cha'
taq,taq
ri',ri'
qes,qas
jcholájl,j cholá
tren,t r en
taq,taq
ójor,ójor
taq,taq
tziij,tziij
kond,kwand
ya,ya
t'ok,t' ok
ju,ju
t'ok,t' ok
ju,ju
wi',wi'
k'iche'laaj,k'iche'laaj
tqasajik,t qa sáj ik
toos,entoons
kwand,kwand
ya,ya
t'ok,t' ok
jqasajik,j qa saj ik
k'ichelaaj,k'iche'laaj
nab'e,nab'e
tik'am,ti k'am
taq,taq
b'i,b'i
poom,poom
chi,chi
rij,r ij
ral,ra
ulew,uleew
o,o'
wi',wi'
jun,jun
o,o'
wi',wi'
jun,jun
syen,syen
kwerd,kwerd
wataal,wataal
u,u
k'ichelaaj,k'ichelaaj
tijqasaj,ti j qa saj
taq,taq
pwes,pwees
tijb'ij,ti j b'ij
taq,taq
tijb'ij,ti j b'ij
taq,taq
intiit',in tiit'
ójor,ójor
rii,ri
uxub',oxib'
arob,arob
poom,poom
tijkoj,ti j koj
taq,taq
cha',cha'
i,i
ajruk',aj ruk'
re',re
ji'n,ji'n
jinon,jilon
tqab'ij,t qa b'ij
ooj,ooj
re,re
kandela,kanteel
kandela,kanteel
ooj,ooj
cha',cha'
ooj,ooj
re,re
pero,peer
qas,qas
tijb'ij,ti j b'ij
taq,taq
ójor,ójor
taq,taq
tziij,tziij
knteel,knteel
cha',cha'
taq,taq
re,re
kandela,kanteel
kantelaa,kantee
tijk'am,ti j k'am
b'i,b'i
jkantela,j kantela
tqak'am,t qa k'am
b'i,b'i
qakantel,qa kanteel
cha',cha'
taq,taq
tijk'am,ti j k'am
taq,taq
b'i,b'i
poom,poom
xijpomajtqa',x i j poma j tq a'
jwich,j wich
witz,witz
xijpomajtqa',x i j poma j tq a'
jwich,j wiich
nin,neen
lamas,lamaas
lwar,luwar
tijkoj,ti j koj
jchaakaq,j chaak aq
toos,entoons
ri',ri'
k'u,k'u
li,li
tren,t r en
taq,taq
jinon,jilon
li,li
tren,t r en
taq,taq
tons,entoons
tijpomaj,ti j poma j
taq,taq
jwich,j wiich
xpomaji',x poma j i'
jwich,j wiich
li,li
jwi'laq,j wi'l aq
ta',ta'
tq'ax,t q'ax
asron,asroon
ta',ta'
tq'ax,t q'ax
moor,moor
uchaq,uch aq
jch'eekaq,j ch'eek aq
ta',ta'
tijq'atz,ti j q'atz
ta',ta'
tijkat,ti j kat
ri'b'aq,r i' b'aq
li,li
chaak,chaak
i,i
xentiji',x en tij i'
li,li
baay,baa
ya,ya
xentiji',x en tij i'
li,li
li,li
chaak,chaak
xentiji',x en tij i'
chaak,chaak
li,li
xk'atmaajchiki',x k'at maaj chik i'
jwi'laq,j wi'l aq
xi',x i'
chki',chik i'
jtayik,j ta yik
chik,chik
lamaas,lamaas
titikonan,ti tiko'na n
taqwi'w,taq wi'w
toos,entoons
mism,miim
xi',x i'
koje'tqa',koj e' tq a'
chiki'n,chik i'n
lamaas,lamaas
lwar,luwar
tijtik,ti j tik
rab'ixaq,r ab'iix aq
i,i
kla',kla'
tijkoje',ti j koj e'
taq,taq
wi'w,wi' w
ri,ri
kostumbre,kostumbre
baay,baa
xpek'u,x pe k'u
q'ooq',q'ooq'
li,li
cha',cha'
xpek'u,x pe k'u
kinaq',kinaq'
li,li
cha',cha'
xpek'u,x pe k'u
jaal,jaal
li,li
bwen,bween
taq,taq
qelen,qleen
tijb'itaq,ti j b'it aq
ri',ri'
li,li
trentaq,t r en taq
uchaq,uch aq
lom,loom
ójor,ójor
o,o'
jinon,jilon
trentaq,t r en taq
qamaam,qa maam
qeet',q eet'
ójor,ójor
taq,taq
tziij,tziij
toos,entoons
ri',ri'
li,li
ri,ri
jilon,jilon
ri,ri
ri,ri
rideyaq,r ideey aq
per,per
yokrek,yo krek
iin,iin
tanb'ij,t an b'ij
tz'eti'n,tz'et i'n
ajwi',aj wi'
man,man
juul,juul
kla',kla'
li,li
yokrek,yo krek
ajwi'n,ajw i'n
ta',ta'
ta',ta'
rjunab',r junaab'
petze,petee
ta',ta'
jurub'ti,jurub' ti
junab',junab'
ukaa,wuka
petzelkin,petz el k in
kla',kla'
pent,derepeet
xi',xi'
jun,jun
oxlajuj,oxlajuuj
junab',junaab'
kab'lajuj,kab'lajuj
junab',junaab'
ri',ri'
li,li
ri,ri
b'eselkin,b'es el k in
ri,ri
petzelkin,petz el ik in
kla',kla'
ji'n,jii'n
xinpetchika'na,x in pet ch ka' na
jun,jun
weltchik,weelt chik
ja',ja'
xime',x i me'
chich,chi ch
insii',in sii'
chik,chik
pero,peer
mikta',mi kta'
chki',chik
xintaw,x in taw
kla',kla'
ji'n,jii'n
jun,jun
kab'lajuj,kab'lajuj
junab',junaab'
o,o
oxlajuj,oxlajuj
junab',junab'
kla',kla'
li,li
wi'w,wi' w
jun,jun
juul,juul
kla',kla'
li,li
wi',wi'
kojol,koj ol
q'aaq',q'aaq'
xilj,xílij
chi',chi'
qe,qe
jun,jun
k'otob',k'otob'
qe,qe
tqejb'ik,t qej b' ik
jchi',j chi'
jun,jun
k'otob',k'otob'
tqejb'ik,t qej b' ik
i,i
ya,ya
tb'e,t b'e
pwes,pwes
diseke,dise ke
ya,ya
tinyol,t in yol
ri,ri
chawe,ch aw e
peer,peer
ri',ri'
pent,peent
awetami'n,aw etam i'n
tanb'ij,t an b'ij
iin,iin
awetam,aw etam
tijb'ij,ti j b'ij
taq,taq
li,li
taq,taq
tziij,tziij
cha',cha'
kom,koom
ójor,ójor
jb'anik,j b'an ik
pok,pok
sub'laaj,sub' laaj
jwert,jwert
naa,naa
jmillagr,j millagr
jwert,jwert
naa,naa
dilikaa,dilikaa
jb'anik,j b'an ik
toos,entoons
ri',ri'
li,li
jinon,jilon
tijb'ij,ti j b'ij
taq,taq
diske,diske
li,li
jwi'li,j wi'l i'
ni'j,ni'j
kristyan,kirtyaan
ta',ta'
jkojb'alaq,j k'oj b'al aq
li,li
tijb'ij,ti j b'ij
taq,taq
xi',x i'
jb'ite',j b'it e'
taq,taq
paagr,paagr
laq'ab',laq'aab'
cha',cha'
tren,t r en
taq,taq
misa,misa
b'an,b'an
qamisa,qa misa
ori,ori
b'an,b'an
qamiix,qa miix
ori,ori
cha',cha'
taq,taq
cha',cha'
re,re
cha',cha'
b'an,b'an
qamiix,qa miix
ori,ori
ori,ori
paagr,paagr
ori,ori
chqaj,ch qa j
miix,miix
chawe,ch aw e
cha',cha'
taq,taq
re,re
pwes,pwees
ori,laj
ma,ma
kita',kita'
loq',loq'
ta',ta'
loq',loq'
tqa'an,t qa 'an
miix,miix
ori,ori
porke,porke
ori,ori
laq'ab'i'n,laq'aab' i'n
cha',cha'
paagre,paagre
cha',cha'
noo,noo
b'aan,b'an
ori,ori
cha',cha'
taq,taq
re,re
alajwers,alajwers
tren,t r en
taq,taq
obligar,obligar
paagre,paagre
toos,entoons
paagre,paagre
eb'an,e b'an
tcha',t cha'
re,re
xen,x en
miix,miix
cha',cha'
jonon,jonon
tijyol,ti j yol
taq,taq
k'etzen,k'etzen
intiit',in tiit'
li,li
ójor,ójor
taq,taq
tziij,tziij
tonse,entoons
tonse,entoons
ri',ri'
k'u,k'u
li,li
pwes,pwees
tonse,entoons
xpenika,x pe nika'
retzel,r etzel
paagre,paagre
nika',nika'
jb'anik,j b'an ik
xpe,x pe
jun,jun
retzel,r etzel
re,re
li,li
kom,kom
majcholájl,ma j cholaj l
ta',ta'
tren,t r en
maq,maq
kristyan,kirtyaan
maq,maq
ójor,ójor
taq,taq
mas,mas
mas,mas
maq,maq
pasa,pasa)
taq,taq
chuch,ch uch
qamaam,qa maam
qet',q et'
tosee,antonses
xen,x en
taq,taq
li,li
jinon,jilon
li,li
xen,x en
miix,miix
li,li
cha',cha'
toos,entoons
jun,jun
li,li
cha',cha'
toos,entoons
paagr,paagr
li,li
xna',x n a'
miix,miix
li,li
laq'ab',laq'aab'
kom,kom
ubligadi',ubligad i'
rij,r ij
jwi'l,j wi'l
maq,maq
kristyan,kirtyaan
toos,entons
xna',x n a'
miix,miix
re,re
li,li
per,per
maa,maa
jcholájl,j cholaj l
ta',ta'
xen,x en
maq,maq
kristyan,kirtyaan
tons,entons
re,re
li,li
xen,x en
b'anik,b'an ik
ri,ri
jwich,j wiich
juul,juul
li,li
ri,ri
jwich,j wiich
juul,juul
li,li
ri,ri
wi',wi'
ri,ri
wi',wi'
sant,sant
katalina,katalina
li,li
ji',ji'
xlatun,x latun
xeljuu',xelju'
cha',cha'
tons,entons
ri,ri
juul,juul
chik,chik
ri,ri
chik,chik
ri,ri
ka',ka'
cha',cha'
iva,a
kebonito,ke boniito
la,la
istorya,istorya
ifri',ri'
li,li
jinon,jilon
jb'anik,j b'an ik
xlatun,x latun
jwich,j wiich
juul,juul
li,li
ri,ri
ri,ri
re,re
man,man
san,san
katalina,katalina
ri,ri
rikimch,r ikim ch
b'asaqwech,b'a saqwech
jinon,jilon
li,li
ji',ji'
xlatunch,x latun
xe'ljuu',xe'ljuu'
cha',cha'
i,i
antons,antonses
ri',ri'
man,man
jun,jun
re,re
kobaan,kobaan
li,li
ri',ri'
man,man
rka',rka'
rka',rka'
b'alomja',b'alom a'
per,per
jwi'li',j wi'l i'
ni'j,nik'ij
kristyan,kirtyaan
xijb'ite',xi j b'it e'
taq,taq
paagr,paagr
laq'ab',laq'ab'
xijb'ite',xi j b'it e'
taq,taq
paagr,paagr
a,a
ayi,ayi
kee,kee
xen,x en
taq,taq
uu,uu
xb'anik,x b'an ik
b'anik,b'an ik
ya,ya
xijkoje',x í j koj e'
xijkoje',xí j koj e'
jchi'aq,j chi' aq
re,re
paagr,paagr
jb'anik,j b'an ik
xijyaje',x i j yaj e'
taq,taq
paagr,paagr
xijyaje',x i j yaj e'
taq,taq
paagre,paagre
ke,ke
jinon,jilon
tijb'ij,ti j b'ij
taq,taq
jinon,jinon
tijb'ij,ti j b'ij
intiit',in tiit'
ójor,ójor
xijb'ite',x i j b'it e'
taq,taq
paagr,paagr
jwi'l,j wi'l
k'u,k'u
ri,ri
ni'j,nik'ij
kristyan,kirtyaan
xojkajrne',x oj ka j r ne'
ta',ta'
chki',chki'
jcholájk,j chola j ik
per,per
diyunabes,diyunabes
jwi'l,j wi'l
ni'j,nik'ij
kristyan,kirtyaan
xen,x en
taq,taq
jinon,jilon
li,li
cha',cha'
toos,entoons
ji',ji'
qe,qe
noon,noon
li,li
bwen,bwen
xk'ama',x k'am a'
jq'ab',j q'ab'
paagre,paagre
xen,x en
miix,miix
la',la'
xenja',x en ja'
miixa,miixa
laq'ab',laq'ab'
miixa,miixa
jb'ij,j b'iij
misa,misa
ta'n,ta'n
miix,miix
likastiy,li kastiiy
li,li
noke,noke
miixa,miixa
ri',ri'
li,li
xen,x en
taq,taq
miixa,miixa
laq'ab',laq'ab'
baay,baay
ji',ji'
qe,qe
noon,noon
li,li
xen,x en
li,li
cha',cha'
xe',xe'
li,li
pobriil,pobre iil
qatilmit,qa tinmit
ta',ta'
ta'chki',ta' chk i'
qelen,qleen
naado,naado
toos,entoons
jinon,jilon
li,li
porke,porke
si,si
no,no
ri',ri'
tka',tka'
ri,ri
seb'laaj,seb'laa j
jwert,jwert
wi',wi'
wi',wi'
jrik'il,j r ik'il
cha',cha'
wi',wi'
jrik'il,j r ik'il
ri,ri
qatilmit,qa tilmit
ri,ri
cha',cha'
per,per
kom,kom
jwi'li',j wi'l i'
ri,ri
jinon,jinon
xen,x en
ni'j,nik'ij
kristyan,kirtyaan
toos,entoons
ta',ta'
chki',chik i'
jrik'il,j rikil
qatilmit,qa tilmit
cha',cha'
jiri,ji ri
o,o
jili,ji li
porke,porke
jun,jun
juul,juul
t'ookb'ik,t' ook b'i k
t'ookb'i,t' ook b'i
qas,qas
tqejb'ik,t qej b'i k
xaq,xaq
kla',kla'
qe,qe
ya,ya
wi'chaq,wi' chaq
jun,jun
jwich,j wich
tqejb'e,t qej b'e
pijinon,pu jinon
rii,ri
ji'n,jii'n
pwes,pwes
iin,iin
tanb'ijin,t an b'ij in
qasori,qas ori
pwes,pwes
tanb'ijiin,t an b'ij iin
rejwexki',rejwex k i'
tiye'saj,ti ye' sáj
jq'iij,j q'iij
juul,juul
maqra,maq ra
witz,witz
re,re
esike,e si ke
petz,petz
nimi',nim i'
jq'iij,j q'iij
jb'anik,j b'an ik
yo'l,yo'l
witzi'n,witz i'n
tqab'ij,t qa b'ij
re,re
rojwexki',rojwexk i'
tqaye',t qa ye'
jq'iij,j q'iij
rojwexki',rojwexk i'
tqaye',t qa ya e'
jq'iij,j q'iij
li,li
per,per
juntir,juntiir
ooj,ooj
qas,qas
tanb'ij,t an b'ij
iin,iin
qas,qas
tinchomors,t in chomor s
qas,qas
inchomors,in chomor s
qas,qas
i,i
nchomorsan,n chomor san
iin,iin
chi,chi
rij,r ij
qes,qas
qes,qas
nojel,nojel
tilmit,tinmit
tib'ili,ti b'i li
qas,qas
nojel,nojel
tilmit,tinmit
tib'ili,ti b'i li
qes,qas
nen,nen
mo,mo
tijb'ij,ti j b'ij
likastiy,li kastiiy
pwes,pwes
